region,event_id,phase,n_test_months,n_training_months,RMSE_M1,RMSE_M3,delta_RMSE_M3_minus_M1,MAE_M1,MAE_M3,delta_MAE_M3_minus_M1,Pearson_r_M1,Pearson_r_M3,M3_better_RMSE,M3_better_MAE,finite_models,rank_deficient
EP,ElNino_06,El Nino,13,223,1.1273789393973042,0.9143850239732785,-0.21299391542402568,0.968735213271661,0.8335164680281044,-0.1352187452435566,0.8818410454054305,0.9279524481233945,True,True,True,False
EP,ElNino_07,El Nino,8,228,0.6924775405490851,0.5623429001014683,-0.1301346404476168,0.5795496834345297,0.49415741665379165,-0.08539226678073808,0.7445601381239167,0.8376435815113278,True,True,True,False
EP,ElNino_08,El Nino,3,233,0.602023544448805,0.4247976375382383,-0.17722590691056672,0.4847859121942221,0.32873655673277624,-0.15604935546144588,0.9210085341356751,0.9936221869611549,True,True,True,False
EP,LaNina_01,La Nina,1,235,0.6475341269733805,0.03821731388888994,-0.6093168130844906,0.6475341269733805,0.03821731388888994,-0.6093168130844906,,,True,True,True,False
EP,LaNina_02,La Nina,5,231,0.7383306259635684,0.7403921071465709,0.0020614811830025337,0.5918038111620068,0.5717661277183725,-0.020037683443634213,0.8693394426254002,0.8637298801543042,False,True,True,False
EP,LaNina_03,La Nina,12,224,0.6257772919771284,0.8326292711083743,0.20685197913124587,0.5439613813436986,0.6951565842029983,0.15119520285929966,0.9718631692949572,0.9481864249339482,False,False,True,False
EP,LaNina_04,La Nina,4,232,0.9528082575592075,0.882101204848561,-0.07070705271064648,0.8169635740276098,0.8002541956920548,-0.01670937833555497,0.9351450618509488,0.957743808747226,True,True,True,False
EP,LaNina_05,La Nina,12,224,1.2040756351443782,0.9185249505824515,-0.28555068456192667,1.0779456616740226,0.8029386681538658,-0.2750069935201568,0.8706384595645236,0.9892041932072506,True,True,True,False
EP,LaNina_06,La Nina,9,227,1.0255399770490334,0.7167800805200701,-0.3087598965289633,0.7254066818866335,0.5469093547279866,-0.17849732715864686,0.9043224466176808,0.9613331191830861,True,True,True,False
EP,LaNina_07,La Nina,2,234,1.652694110344514,1.3612029364470923,-0.29149117389742174,1.6008749320389577,1.3126595823169618,-0.2882153497219959,1.0,1.0,True,True,True,False
EP,LaNina_08,La Nina,1,235,1.8565420375926216,1.626182813818128,-0.23035922377449358,1.8565420375926216,1.626182813818128,-0.23035922377449358,,,True,True,True,False
EP,LaNina_09,La Nina,5,231,0.7002040529820449,0.5607978901994989,-0.13940616278254603,0.6842536954545835,0.5033674961658359,-0.1808861992887476,0.7239145543261418,0.8341430354663368,True,True,True,False
EP,LaNina_10,La Nina,7,229,0.9031998036890748,1.0215629797954289,0.11836317610635405,0.7770021348766998,0.9095214447870649,0.1325193099103651,0.9169273123534263,0.8546966882617165,False,False,True,False
EP,LaNina_11,La Nina,9,227,0.7872349299671276,0.7928517008990618,0.005616770931934134,0.6900978565927621,0.6777533057977501,-0.012344550795012066,0.9119836688079284,0.8814271850737389,False,True,True,False
EP,LaNina_12,La Nina,18,223,0.8996464435051711,0.7870627779075066,-0.11258366559766453,0.7924439407419284,0.6162048929430468,-0.17623904779888155,0.9200683941783067,0.9479874056174467,True,True,True,False
WP,ElNino_01,El Nino,8,234,1.2595788918703488,1.014038209803169,-0.24554068206717972,1.1203986846154965,0.8401696105271027,-0.2802290740883938,0.4468597403651224,0.7320155579246419,True,True,True,False
WP,ElNino_02,El Nino,6,230,1.7774939404464147,1.5084460213752928,-0.2690479190711219,1.5787101234625804,1.2458055200265485,-0.3329046034360319,0.4513628908302448,0.7572850070111921,True,True,True,False
WP,ElNino_03,El Nino,5,231,1.056658427778516,1.2252709027637014,0.1686124749851854,0.6745368875981409,1.1667962945806,0.4922594069824592,0.8766615227761536,0.7581310270122645,False,False,True,False
WP,ElNino_04,El Nino,8,228,1.8598948088173564,0.7511847741001512,-1.1087100347172052,1.592879068204105,0.6580468486499178,-0.9348322195541872,0.73865317589024,0.8891430659529637,True,True,True,False
WP,ElNino_05,El Nino,3,233,0.6000923380323363,1.2748416541543603,0.674749316122024,0.4058208201130166,1.1323075001860345,0.7264866800730179,-0.6138926416529442,0.8319844301056959,False,False,True,False
WP,ElNino_06,El Nino,13,223,1.4864596852700886,0.7983435112071485,-0.6881161740629401,1.3463375319980695,0.6616958865876366,-0.6846416454104329,-0.4116229961358368,0.8713109206684726,True,True,True,False
WP,ElNino_07,El Nino,8,228,1.9975919016255048,1.1437604909682608,-0.853831410657244,1.5514638602863542,1.066996328565566,-0.48446753172078827,0.42211298397037916,0.885695014756069,True,True,True,False
WP,ElNino_08,El Nino,3,233,1.1920577065033298,1.3402682849764727,0.1482105784731429,0.8738952829402393,1.0954832747021541,0.2215879917619148,-0.7460930379430687,0.7714961248221337,False,False,True,False
WP,LaNina_01,La Nina,1,235,1.4975355237139787,0.573746957534957,-0.9237885661790217,1.4975355237139787,0.573746957534957,-0.9237885661790217,,,True,True,True,False
WP,LaNina_02,La Nina,5,231,0.5845299504333783,0.7052698875167133,0.12073993708333497,0.547530097718751,0.5082577155022158,-0.039272382216535284,0.5667811639622523,0.6037805746516633,False,True,True,False
