region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48
WP,35,310-180,22.63-60.36,deep convective cloud,0.022640662485389252,-4.693802736604669,2.99856698667241,-1.695235749932258,-207.31737596608448,132.44166280944657,-74.87571315663789,-207.2339803843003,132.6643144669817,-74.56966591731855,-0.30604723931934075,248,True,True
WP,36,310-180,60.36-378.65,deep convective cloud,0.0037162879034469787,-0.890876368584351,0.5167302428323076,-0.37414612575204337,-239.72210757891875,139.04472857256926,-100.67737900634948,-239.6301944636622,139.3374596957841,-100.29273476787809,-0.3846442384713953,248,True,True
WP,37,180-10,0.02-1.27,thin high cloud,0.014624250608444203,0.01933563312001687,0.0923758068892902,0.11171144000930708,1.3221623204988202,6.316618154502317,7.638780475001137,0.9833088702665003,6.79319396254693,7.77650283281343,-0.1377223578122928,248,True,True
WP,38,180-10,1.27-3.55,thin high cloud,0.004161026319306121,-0.27697440367798726,0.42636609775319423,0.14939169407520694,-66.56396341279923,102.46657075322072,35.90260734042149,-65.95804880997967,102.49497709793799,36.536928287958325,-0.6343209475368354,248,True,True
WP,39,180-10,3.55-9.38,thick anvil cloud,0.00292881586901567,-0.3337193416897732,0.39467786902354507,0.06095852733377199,-113.94343537271638,134.75680502789348,20.81336965517713,-113.8211105610646,134.90780594737492,21.086695386310332,-0.2733257311332018,248,True,True
WP,40,180-10,9.38-22.63,thick anvil cloud,0.0073429699502160235,-1.356188234088513,1.1533679824016232,-0.2028202516868898,-184.69205829292753,157.0710475762865,-27.621010716641024,-184.17134620202182,157.17766989664224,-26.993676305379598,-0.6273344112614261,248,True,True
WP,41,180-10,22.63-60.36,deep convective cloud,0.013992488033090394,-3.113368592119602,2.241485806932668,-0.871882785186934,-222.50285901670202,160.1920831829085,-62.31077583379352,-222.19642479833772,160.29386543033937,-61.90255936799836,-0.4082164657951637,248,True,True
WP,42,180-10,60.36-378.65,deep convective cloud,0.012334356195269727,-3.098443276264408,2.0447452013160428,-1.0536980749483653,-251.20429694195735,165.7764028332675,-85.42789410868988,-250.85698500441237,165.7290402405428,-85.1279447638696,-0.299949344820277,248,True,True
CP,1,1000-800,0.02-1.27,low cloud,0.052024480378207755,-0.4512952624072747,-0.08962578142013448,-0.5409210438274092,-8.674671214905882,-1.7227616838952096,-10.397432898801092,-8.604502912431682,-1.9854436868707157,-10.589946599302397,0.1925137005013049,248,True,True
CP,2,1000-800,1.27-3.55,low cloud,0.06453573382617252,-1.9860514756196384,0.06494743075123109,-1.9211040448684074,-30.774446308599867,1.0063793638136584,-29.76806694478621,-30.737002100755394,0.9360501502078916,-29.800951950547503,0.03288500576129394,248,True,True
