month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2015-06-01,CP,1,0.1140275964,0.0047756235,0.0326687431,-0.0538066779,True,True
2015-07-01,CP,1,0.0258632586,0.0453130701,0.0445581572,-2.1991334729,True,True
2015-08-01,CP,1,0.1079295025,-0.0169211440,0.0459890162,-0.1346377988,True,True
2015-09-01,CP,1,0.1222501902,-0.0114296368,0.0536237597,-1.0342600718,True,True
2015-10-01,CP,1,0.0751348723,0.0395635357,0.0325027733,-2.8702802864,True,True
2015-11-01,CP,1,0.1116252102,-0.0055617273,0.0455555819,0.1463652058,True,True
2015-12-01,CP,1,0.1833478084,0.0195389366,0.0693007373,0.7640055001,True,True
2016-01-01,CP,1,0.1308802952,0.0010193307,0.0544420455,2.2139177877,True,True
2016-02-01,CP,1,0.1666669573,0.0553712165,0.0437743820,-2.3347174255,True,True
2016-03-01,CP,1,0.0804376717,-0.0072648803,0.0239575465,0.2993745340,True,True
2016-04-01,CP,1,0.0640943770,0.0061872777,0.0075923961,0.0353968903,True,True
2016-05-01,CP,0,0.0318890680,0.0131515410,0.0129374311,0.4713840711,True,True
2016-06-01,CP,0,0.0546066211,-0.0182627893,0.0203523054,2.3180908148,True,True
2016-07-01,CP,-1,-0.0012977304,0.0036610706,0.0048258278,1.0377524730,True,True
2016-08-01,CP,-1,-0.0147849710,-0.0078378069,-0.0001680039,0.1787424203,True,True
2016-09-01,CP,-1,-0.0195777728,-0.0020668637,-0.0057726285,0.5845347733,True,True
2016-10-01,CP,-1,-0.0257549241,-0.0014162491,-0.0168246587,-0.0777917468,True,True
2016-11-01,CP,-1,-0.0397317012,0.0172241543,-0.0088339360,-1.1597748146,True,True
2016-12-01,CP,-1,-0.0111823446,-0.0116337841,0.0071170756,0.9957553315,True,True
2017-01-01,CP,0,-0.0821402862,0.0017180361,-0.0259108386,0.8686883569,True,True
2017-02-01,CP,0,-0.0658213649,-0.0207393913,-0.0077711030,3.6497162379,True,True
2017-03-01,CP,0,-0.0682867338,-0.0194041346,-0.0184767548,3.2503753568,True,True
2017-04-01,CP,0,-0.0154682585,-0.0141342856,-0.0113572225,0.9487635029,True,True
2017-05-01,CP,0,-0.0112468782,0.0061812989,-0.0032025373,0.7613595592,True,True
2017-06-01,CP,0,-0.0057291461,-0.0001521352,0.0119435188,1.1572989172,True,True
2017-07-01,CP,0,0.0035862591,-0.0106603106,-0.0058782326,1.5453614442,True,True
2017-08-01,CP,0,0.0055576600,-0.0124354314,-0.0086610187,1.2842579245,True,True
2017-09-01,CP,0,-0.0415332317,-0.0000937833,-0.0130343239,0.0732500311,True,True
2017-10-01,CP,-1,-0.0208998909,0.0174039842,-0.0099942576,-1.4913849656,True,True
2017-11-01,CP,-1,-0.0576977542,0.0178405171,-0.0252609972,-1.7576244950,True,True
2017-12-01,CP,-1,-0.0296440865,-0.0207977088,-0.0219009752,-0.4742666379,True,True
2018-01-01,CP,-1,-0.1121481353,0.0209350162,-0.0337223790,0.1854128704,True,True
2018-02-01,CP,-1,0.0429026107,-0.0255573222,0.0074158971,1.6668259286,True,True
2018-03-01,CP,-1,0.0090779731,0.0094052950,0.0110986822,-1.7453425229,True,True
2018-04-01,CP,-1,-0.0105160067,0.0008567087,0.0125328584,-0.0137074241,True,True
2018-05-01,CP,0,-0.0237885304,0.0324232760,-0.0000682542,-1.3754949261,True,True
2018-06-01,CP,0,-0.0434438625,0.0240467458,0.0003439566,-1.7773413288,True,True
2018-07-01,CP,0,0.0048612814,0.0121558948,0.0051341339,-0.8266396225,True,True
2018-08-01,CP,0,-0.0017301272,-0.0085693685,0.0180070552,0.9059027305,True,True
2018-09-01,CP,1,0.0490869832,-0.0284754886,0.0384556544,1.5449520209,True,True
2018-10-01,CP,1,0.0113203627,-0.0367629965,0.0271008951,3.4158412246,True,True
2018-11-01,CP,1,0.0549114222,-0.0280831628,0.0211893819,1.1390667095,True,True
