region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,AmountSW_candidate,AmountLW_candidate,AmountNet_candidate,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,SW_LW_Net_closure_residual
TP,24,560-440,60.36-378.65,mid-level cloud,1.0838031948001353e-06,-226.8668287541289,54.91065951258396,-171.95616924154498,-0.0002458789937979001,5.951234820832094e-05,-0.00018636664558957923,248,True,True,-8.131516293641283e-20
TP,25,440-310,0.02-1.27,thin high cloud,0.004834938974534155,-18.184536762621796,37.00663116060758,18.822094397985794,-0.08792112552744928,0.17892480331463173,0.0910036777871825,248,True,True,5.551115123125783e-17
TP,26,440-310,1.27-3.55,thin high cloud,0.0016060838527174413,-54.87343855307073,65.4490569616673,10.575618408596576,-0.08813134360316961,0.10511667356171787,0.016985329958548283,248,True,True,2.0816681711721685e-17
TP,27,440-310,3.55-9.38,thick anvil cloud,0.0005841002818831268,-108.6383127625638,77.03118617540876,-31.607126587155015,-0.0634556691079208,0.04499393755884788,-0.018461731549072918,248,True,True,3.469446951953614e-18
TP,28,440-310,9.38-22.63,thick anvil cloud,0.00023812123382932135,-152.9655457636829,81.66862244041305,-71.29692332326987,-0.03642434449062369,0.019447033140652156,-0.01697731134997154,248,True,True,-3.469446951953614e-18
TP,29,440-310,22.63-60.36,deep convective cloud,-8.205432926151933e-05,-190.4891911913818,82.5170012873836,-107.9721899039982,0.01563046281477815,-0.006770877193308188,0.008859585621469962,248,True,True,0.0
TP,30,440-310,60.36-378.65,deep convective cloud,-1.258209581065338e-05,-229.50267118643563,86.55928919372505,-142.94338199271056,0.0028876245976686117,-0.0010890972699375023,0.0017985273277311092,248,True,True,-2.168404344971009e-19
TP,31,310-180,0.02-1.27,thin high cloud,0.005511615707108057,-15.06911430849397,29.727174003203302,14.658059694709335,-0.08305516711490214,0.16384475916398963,0.0807895920490875,248,True,True,1.3877787807814457e-17
TP,32,310-180,1.27-3.55,thin high cloud,0.0061835136413163835,-65.57041207082423,83.216938461296,17.646526390471767,-0.4054555375066781,0.5145730741640098,0.10911753665733173,248,True,True,8.326672684688674e-17
TP,33,310-180,3.55-9.38,thick anvil cloud,0.005288873274329663,-115.93631003113322,109.5417984454152,-6.394511585718038,-0.6131724516480584,0.579352690219963,-0.03381976142809552,248,True,True,-1.249000902703301e-16
TP,34,310-180,9.38-22.63,thick anvil cloud,0.0031515092210380076,-169.05400366080167,124.6690841298582,-44.38491953094345,-0.5327752513904096,0.3928957682136113,-0.13987948317679824,248,True,True,8.326672684688674e-17
TP,35,310-180,22.63-60.36,deep convective cloud,0.0013764511965495482,-209.4063543931162,133.5055695572904,-75.90078483582586,-0.2882376270694835,0.18376390096316134,-0.10447372610632231,248,True,True,-1.249000902703301e-16
TP,36,310-180,60.36-378.65,deep convective cloud,3.104373648118346e-05,-240.6377826100346,140.7422196709735,-99.89556293906112,-0.007470295910762226,0.004369164379242537,-0.0031011315315196903,248,True,True,-8.673617379884035e-19
TP,37,180-10,0.02-1.27,thin high cloud,0.002069697366869412,0.003718557252554,7.366926786438981,7.370645343691535,7.696288154164169e-06,0.0152473089718125,0.015255005259966663,248,True,True,0.0
TP,38,180-10,1.27-3.55,thin high cloud,0.0005075925164490791,-66.71963967595457,105.25253780798413,38.53289813202953,-0.0338663897996936,0.053425400528606504,0.01955901072891289,248,True,True,-1.3877787807814457e-17
TP,39,180-10,3.55-9.38,thick anvil cloud,0.0004179019214588704,-114.32915669273537,137.00971539301145,22.68055870027611,-0.04777837426066638,0.05725662332127246,0.009478249060606085,248,True,True,8.673617379884035e-18
TP,40,180-10,9.38-22.63,thick anvil cloud,0.0009045192465917322,-186.57354207647035,158.44415633036604,-28.12938574610431,-0.1687593597129598,0.14331578891080532,-0.02544357080215448,248,True,True,0.0
TP,41,180-10,22.63-60.36,deep convective cloud,0.0019305518546536065,-224.5163110649642,161.20142165534668,-63.314889409617535,-0.4334403807264527,0.3112077035495276,-0.12223267717692513,248,True,True,-2.7755575615628914e-17
TP,42,180-10,60.36-378.65,deep convective cloud,0.002298250395723949,-252.56778179600937,165.97236430362491,-86.59541749238443,-0.5804640044597986,0.38144605194004544,-0.1990179525197531,248,True,True,8.326672684688674e-17
WP,1,1000-800,0.02-1.27,low cloud,0.0055254678298170545,-8.22745067528649,-3.779493280298417,-12.006943955584909,-0.045460514027702105,-0.020883468533298633,-0.06634398256100074,248,True,True,0.0
WP,2,1000-800,1.27-3.55,low cloud,0.010066097497479325,-29.83880314874201,-1.0200366439741506,-30.858839792716164,-0.3003603017033301,-0.010267788309245407,-0.3106280900125756,248,True,True,-5.551115123125783e-17
WP,3,1000-800,3.55-9.38,low cloud,0.003532595526533665,-64.57048829005869,0.3836637667114935,-64.18682452334718,-0.22810141807955575,0.0013553289059780775,-0.2267460891735776,248,True,True,5.551115123125783e-17
WP,4,1000-800,9.38-22.63,low cloud,3.3005320654568666e-05,-97.71997457982944,3.2946120493347957,-94.42536253049464,-0.0032252790953635696,0.00010873972712070053,-0.0031165393682428687,248,True,True,4.336808689942018e-19
WP,5,1000-800,22.63-60.36,low cloud,-1.35092867464311e-05,-131.25485508836013,5.193187458284996,-126.06166763007514,0.001773159474249918,-7.01562585019417e-05,0.0017030032157479764,243,True,True,0.0
WP,6,1000-800,60.36-378.65,low cloud,-1.2453603628422915e-07,-170.6318932770828,9.6370160943697,-160.9948771827131,2.1249819652401503e-05,-1.2001557860001254e-06,2.0049663866401376e-05,49,True,True,0.0
WP,7,800-680,0.02-1.27,low cloud,0.0010608169598960767,-12.7318530149854,5.507544764800918,-7.224308250184481,-0.013506165609200512,0.005842496893887663,-0.0076636687153128465,248,True,True,2.6020852139652106e-18
WP,8,800-680,1.27-3.55,low cloud,0.003287122232712207,-36.0337006890128,10.701630195545068,-25.33207049346774,-0.11844717866175114,0.035177566542040475,-0.08326961211971069,248,True,True,-2.7755575615628914e-17
WP,9,800-680,3.55-9.38,low cloud,0.006494383927746896,-72.20866172754396,11.104715239639608,-61.10394648790433,-0.4689507721674739,0.0721182841745215,-0.3968324879929523,248,True,True,1.1102230246251565e-16
WP,10,800-680,9.38-22.63,low cloud,0.002450489938774855,-107.6237491761761,12.01425427586581,-95.60949490031028,-0.26373091452944813,0.029440809224891947,-0.23429010530455613,248,True,True,5.551115123125783e-17
WP,11,800-680,22.63-60.36,low cloud,0.00023801810076163612,-142.4200013716847,13.51428538523822,-128.90571598644647,-0.033898538236958,0.0032166445405451367,-0.030681893696412863,248,True,True,0.0
WP,12,800-680,60.36-378.65,low cloud,1.5883011276855432e-06,-184.96958023673977,18.664261682212672,-166.30531855452705,-0.00029378739287753535,2.9644467877276462e-05,-0.0002641429250002588,241,True,True,5.421010862427522e-20
WP,13,680-560,0.02-1.27,mid-level cloud,-0.0024655320514653037,-14.437504268218389,12.723245074714203,-1.7142591935041862,0.03559612951645956,-0.03136956853035593,0.0042265609861036335,248,True,True,6.938893903907228e-18
WP,14,680-560,1.27-3.55,mid-level cloud,-0.003830603207991206,-38.136962431405635,24.5195003666317,-13.617462064773934,0.14608757063278252,-0.09392447676276094,0.05216309387002158,248,True,True,6.938893903907228e-18
WP,15,680-560,3.55-9.38,mid-level cloud,-7.54880780176638e-05,-72.75346921859577,29.24030311517183,-43.51316610342393,0.005492019560429059,-0.002207294282818229,0.0032847252776108293,248,True,True,-4.336808689942018e-19
WP,16,680-560,9.38-22.63,mid-level cloud,0.001089931158683331,-113.49926395185769,27.984290204218222,-85.51497374763944,-0.12370638426875347,0.030500949847214156,-0.0932054344215393,248,True,True,1.3877787807814457e-17
WP,17,680-560,22.63-60.36,mid-level cloud,0.0002471708090002046,-153.83088008243058,27.91683241168296,-125.9140476707476,-0.03802250307918783,0.006900226051918811,-0.031122277027269017,248,True,True,0.0
