region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
CP,20,560-440,1.27-3.55,mid-level cloud,0.002306909618554515,2.0142591595790806,0.004646713829494515,0.002549635715017146,0.005563657079710911,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,21,560-440,3.55-9.38,mid-level cloud,0.0031271178202274107,-32.85411498100634,-0.10273868842490527,-0.13759793771824336,-0.048884384278496514,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,22,560-440,9.38-22.63,mid-level cloud,-7.630032511780037e-05,-80.5917259725136,0.006149174893507464,-0.04550355497752094,0.06796470548079085,False,0.6665,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,23,560-440,22.63-60.36,mid-level cloud,-0.00023594844414027408,-122.69316684650236,0.02894926182407529,0.007445835491017557,0.049873751865193355,True,0.9965,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,24,560-440,60.36-378.65,mid-level cloud,-6.481972794186646e-06,-178.6238697274417,0.0011578350639656167,0.0004572314724345491,0.0018149842017705093,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,25,440-310,0.02-1.27,thin high cloud,0.017612793371334742,19.932046567256616,0.3510590176569127,0.24893952231182426,0.4313614528859958,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,26,440-310,1.27-3.55,thin high cloud,0.0066277728118796925,11.249668289983054,0.0745602456350148,0.04470291472992097,0.09503094934658976,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,27,440-310,3.55-9.38,thick anvil cloud,0.0032935565062283626,-31.189767425484657,-0.10272526143195444,-0.1465849670368756,-0.05302914191068241,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,28,440-310,9.38-22.63,thick anvil cloud,0.000687413641209068,-70.73763817422194,-0.048626017427871475,-0.10525661854122449,0.0182634757779554,False,0.914,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,29,440-310,22.63-60.36,deep convective cloud,-0.0005023781389139625,-106.79152051188008,0.05364972532655057,0.01825942545917028,0.09191424502232973,True,0.998,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,30,440-310,60.36-378.65,deep convective cloud,-6.21694222406552e-05,-142.1593708702673,0.008837965953099547,0.00464824409990175,0.012709292414077611,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,31,310-180,0.02-1.27,thin high cloud,0.018877258408140904,15.713087989114698,0.29662002236037327,0.2266034899844145,0.3801581145649063,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,32,310-180,1.27-3.55,thin high cloud,0.024921022080651195,19.634904764917454,0.48932189519799124,0.38749045335072313,0.6011129650980773,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,33,310-180,3.55-9.38,thick anvil cloud,0.02341053667334153,-4.782814015753025,-0.11196824291755807,-0.13585014166235035,-0.08690655012124374,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,34,310-180,9.38-22.63,thick anvil cloud,0.013786597500836849,-43.24560707726022,-0.5962097784535281,-0.7205478564399603,-0.4542023612058658,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,35,310-180,22.63-60.36,deep convective cloud,0.00518655610619384,-74.3409439241407,-0.38557347664996583,-0.4644801859715642,-0.27253683852523886,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,36,310-180,60.36-378.65,deep convective cloud,0.0002046470048598782,-97.89697168524442,-0.020034322040237574,-0.044331088321320336,0.0111259679307892,False,0.8625,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
