region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
EP,6,1000-800,60.36-378.65,low cloud,-3.222675246357008e-06,-214.32114795051336,0.0006906874582709,3.4787044783168795e-05,0.0013021940003846,True,0.982,213,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,7,800-680,0.02-1.27,low cloud,0.0015752318393705,-2.8582334196088004,-0.0045023802869208,-0.0088500675823553,-0.0005183392211179,True,0.988,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,8,800-680,1.27-3.55,low cloud,0.0017612954329748,-24.77760807074851,-0.0436406879350501,-0.1176769285510171,0.0244277628208953,False,0.886,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,9,800-680,3.55-9.38,low cloud,-0.0020301648072575,-63.412343726591985,0.1287375085794445,-0.026595502826119,0.2637117197633841,False,0.9455,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,10,800-680,9.38-22.63,low cloud,-0.0029214931649884,-106.67457373514462,0.3116490380452804,0.1618141600829325,0.4641772293945751,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,11,800-680,22.63-60.36,low cloud,-0.0004007625867699,-146.00290707096465,0.0585125027136941,0.0231369875204494,0.0979983317804997,True,0.999,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,12,800-680,60.36-378.65,low cloud,8.39911952516765e-07,-194.99491442904608,-0.0001637785593089,-0.0006485844902222,0.0003671442673463,False,0.7085,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,13,680-560,0.02-1.27,mid-level cloud,0.0025082863318201,3.5410604860621606,0.0088819936173381,0.0029096362168471,0.0159367363424554,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,14,680-560,1.27-3.55,mid-level cloud,0.0023113263276386,-10.710657355179384,-0.0247558243313422,-0.0487638007901607,-0.0018288705018072,True,0.989,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,15,680-560,3.55-9.38,mid-level cloud,0.0004444724871862,-46.878776929839304,-0.0208363265782555,-0.077260448585248,0.0317091643204434,False,0.7685,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
EP,16,680-560,9.38-22.63,mid-level cloud,-0.001297304054185,-95.46189250239392,0.1238431001635337,0.0323763721795861,0.2135785651903658,True,0.998,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
EP,17,680-560,22.63-60.36,mid-level cloud,-0.0003414676888521,-136.43988962599408,0.0465898137778268,0.0081539287157638,0.0839628589377454,True,0.991,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
