region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,panels_used,display_value_tp_sw,display_value_tp_lw,display_value_tp_net,display_value_regional_net,baseline_hatch
CP,31,310-180,0.02-1.27,thin high cloud,0.0544474443807143,-0.856000572253013,1.711538056589606,0.8555374843365932,-15.721593216893282,31.43468120600798,15.713087989114698,-15.770615390787462,31.463028440210515,15.69241304942305,0.0206749396916468,248,True,True,e,,,,15.713087989114698,False
CP,32,310-180,1.27-3.55,thin high cloud,0.0506863305799121,-3.3738678143625807,4.369089088182279,0.9952212738196984,-66.56366274223255,86.19856750715,19.634904764917454,-66.74629778674459,86.16816195819575,19.42186417145115,0.2130405934663066,248,True,True,e,,,,19.634904764917454,False
CP,33,310-180,3.55-9.38,thick anvil cloud,0.0472258450799436,-5.559084389339676,5.333211955585541,-0.2258724337541354,-117.7127562234046,112.92994220765158,-4.782814015753025,-117.76540753315184,112.89779785800168,-4.867609675150146,0.0847956593971215,248,True,True,e,,,,-4.782814015753025,False
CP,34,310-180,9.38-22.63,thick anvil cloud,0.0323423979202785,-5.535274337167911,4.136607704771148,-1.3986666323967634,-171.14607119768692,127.90046412042672,-43.24560707726022,-170.9400864007125,127.98241810899684,-42.9576682917157,-0.2879387855445188,248,True,True,e,,,,-43.24560707726022,False
CP,35,310-180,22.63-60.36,deep convective cloud,0.0181323150012973,-3.825889205162956,2.477915792436652,-1.347973412726304,-210.9983863003268,136.65744237618608,-74.3409439241407,-210.67823302682177,136.80731800259193,-73.87091502422986,-0.4700288999108437,248,True,True,e,,,,-74.3409439241407,False
CP,36,310-180,60.36-378.65,deep convective cloud,0.0035729535748375,-0.863344118911935,0.5135627839633716,-0.3497813349485633,-241.633175698677,143.73620401343257,-97.89697168524442,-241.19847964661517,143.9715548350744,-97.22692481154075,-0.6700468737036545,248,True,True,e,,,,-97.89697168524442,False
CP,37,180-10,0.02-1.27,thin high cloud,0.0173576474456953,0.0032113542897346,0.1352017211460686,0.1384130754358032,0.1850109180856199,7.789173133574513,7.974184051660132,-0.0611493197535325,8.310236481078839,8.249087161325305,-0.2749031096651722,248,True,True,e,,,,7.974184051660132,False
CP,38,180-10,1.27-3.55,thin high cloud,0.0029060678088708,-0.1954795351201423,0.3159929335214744,0.120513398401332,-67.26599239131161,108.73556788898634,41.46957549767473,-67.0494750936323,109.40849435022297,42.35901925659065,-0.8894437589159168,248,True,True,e,,,,41.46957549767473,False
CP,39,180-10,3.55-9.38,thick anvil cloud,0.0014829302994633,-0.1710395280747857,0.2090445216214524,0.0380049935466666,-115.33888554079913,140.96719292680385,25.62830738600475,-114.29914548053172,141.274608985333,26.9754635048013,-1.3471561187965513,248,True,True,e,,,,25.62830738600475,False
CP,40,180-10,9.38-22.63,thick anvil cloud,0.0033793909082611,-0.639899131412326,0.5444451752567632,-0.0954539561555628,-189.3533920115756,161.10748653724306,-28.245905474332503,-188.43739186874865,161.5356300159998,-26.901761852748862,-1.3441436215836404,248,True,True,e,,,,-28.245905474332503,False
CP,41,180-10,22.63-60.36,deep convective cloud,0.0081665481608877,-1.851405292070721,1.335594267490414,-0.5158110245803065,-226.7059785354234,163.5445283831188,-63.161450152304575,-225.69256934751573,163.66377055422504,-62.02879879329067,-1.132651359013899,248,True,True,e,,,,-63.161450152304575,False
CP,42,180-10,60.36-378.65,deep convective cloud,0.0090442700136436,-2.294344824512792,1.522195455959637,-0.7721493685531547,-253.67938164734952,168.30495481264265,-85.37442683470685,-252.78475685668928,168.11350459501443,-84.67125226167484,-0.7031745730320154,248,True,True,e,,,,-85.37442683470685,False
EP,1,1000-800,0.02-1.27,low cloud,0.0546188236169419,-0.573707302010246,-0.0026294246256347,-0.5763367266358808,-10.5038384941028,-0.0481413632061302,-10.55197985730893,-10.543752395725852,-0.0043469693749931,-10.548099365100846,-0.0038804922080846,248,True,True,f,,,,-10.55197985730893,False
EP,2,1000-800,1.27-3.55,low cloud,0.1136734274112088,-4.091114599218122,0.3613693257831396,-3.729745273434983,-35.99006990805941,3.1790131960735324,-32.811056711985884,-35.863518039192265,3.147845766633231,-32.71567227255903,-0.0953844394268514,248,True,True,f,,,,-32.811056711985884,False
EP,3,1000-800,3.55-9.38,low cloud,0.0947220128959121,-7.0733507853822815,0.5529428756943178,-6.520407909687964,-74.6748360716851,5.837532995650483,-68.83730307603462,-74.1082245269039,5.715945229897212,-68.39227929700667,-0.4450237790279487,248,True,True,f,,,,-68.83730307603462,False
EP,4,1000-800,9.38-22.63,low cloud,0.0282813449287448,-3.423739053859403,0.1892889110305231,-3.23445014282888,-121.05998008530176,6.693066100902853,-114.3669139843989,-121.12166314939684,7.099376429133599,-114.02228672026328,-0.3446272641356387,248,True,True,f,,,,-114.3669139843989,False
EP,5,1000-800,22.63-60.36,low cloud,0.0020663925316433,-0.3305458123872171,0.0069376238288896,-0.3236081885583275,-159.96274053717437,3.357360096231288,-156.60538044094312,-161.60354129709813,5.11623870694167,-156.48730259015647,-0.1180778507866477,248,True,True,f,,,,-156.60538044094312,False
EP,6,1000-800,60.36-378.65,low cloud,4.625152435288167e-06,-0.0009881131091448,-3.154870232257845e-06,-0.000991267979377,-213.63903632794555,-0.6821116225678047,-214.32114795051336,-210.00558853861727,1.7197061975580152,-208.2858823410593,-6.035265609454058,213,True,True,f,,,,-214.32114795051336,False
