month,region,phase_index,NetPath_low_monthly,NetPath_thin_monthly,NetPath_thick_monthly,NetPath_deep_monthly,NetPath_high_total_monthly,NetPath_high_contrast_monthly
2021-04-01,EP,-1,-13.925064478518303,1.840538061807722,-2.164153385320092,-2.340888395955834,-2.664503719468204,-6.345579843083648
2021-05-01,EP,-1,-15.597620291326212,1.011670599113115,-1.824147071956559,-1.861952406371713,-2.674428879215157,-4.697770077441388
2021-06-01,EP,0,-16.167166128989194,0.886016942198377,-2.423325789949732,-2.520234518266215,-4.057543366017569,-5.829577250414324
2021-07-01,EP,0,-20.776676746079115,0.909852884569089,-2.370967666797956,-2.511426381534496,-3.972541163763363,-5.792246932901541
2021-08-01,EP,-1,-21.414288660366054,0.805882599513711,-2.776810211458958,-2.876015825615364,-4.846943437560611,-6.458708636588033
2021-09-01,EP,-1,-26.155910008791103,0.533795656255319,-2.109245369937809,-2.066446276504204,-3.641895990186694,-4.709487302697333
2021-10-01,EP,-1,-28.354299894458212,0.581567774544919,-1.660912066520476,-1.786315082371425,-2.865659374346982,-4.028794923436820
2021-11-01,EP,-1,-26.148201909725877,0.899823348985910,-0.890078577827953,-1.157036620094122,-1.147291848936165,-2.946938546907985
2021-12-01,EP,-1,-28.085788653288681,0.964661474236981,-0.491737644595822,-0.691778824485201,-0.218854994844043,-2.148177943318005
2022-01-01,EP,-1,-20.197880992168894,0.534996268150784,-0.962490428709170,-0.975723906366643,-1.403218066925028,-2.473210603226597
2022-02-01,EP,-1,-14.484089641812732,0.465213002333552,-1.071550675563141,-1.113405105331703,-1.719742778561292,-2.650168783228395
2022-03-01,EP,-1,-12.992634445278235,1.098701447679097,-1.793833538069522,-1.703945557832440,-2.399077648222865,-4.596480543581058
2022-04-01,EP,-1,-15.884362417209703,1.085814477153073,-2.037883273961198,-2.349073961755757,-3.301142758563882,-5.472771712870030
2022-05-01,EP,-1,-17.786267201390228,1.224821452637097,-2.081864710249466,-2.478531471370630,-3.335574728982999,-5.785217634257193
2022-06-01,EP,-1,-17.610688867907221,0.741423846946537,-2.231832006417954,-2.470703528463298,-3.961111687934715,-5.443959381827788
2022-07-01,EP,-1,-20.851864461492216,0.768509678386748,-2.101229800336956,-2.469502767452769,-3.802222889402977,-5.339242246176473
2022-08-01,EP,-1,-25.891707272765277,0.620589887016863,-2.260436629788933,-2.529320379954983,-4.169167122727053,-5.410346896760778
